"order_number","order_date","delivery_date","delivery_date","customer_key","store_key","product_key","quantity","revenue","cost","profit","delivery_delay_days","order_channel"
"1000000",2017-09-26,2017-09-26,,1152038,38,220,7,7763.00,2572.01,5190.99,0,In-Store
"1000000",2017-09-26,2017-09-26,,1152038,38,1523,1,299.00,137.50,161.50,0,In-Store
"1000000",2017-09-26,2017-09-26,,1152038,38,2103,3,1524.00,776.97,747.03,0,In-Store
"1000000",2017-09-26,2017-09-26,,1152038,38,2112,7,5537.00,2546.25,2990.75,0,In-Store
"1000001",2017-09-26,2017-10-01,2017-10-01,240085,0,1513,1,269.00,123.70,145.30,5,Online
"1000001",2017-09-26,2017-10-01,2017-10-01,240085,0,1577,5,1095.00,362.80,732.20,5,Online
"1000001",2017-09-26,2017-10-01,2017-10-01,240085,0,2491,8,199.92,101.92,98.00,5,Online
"1000001",2017-09-26,2017-10-01,2017-10-01,240085,0,2512,6,779.94,258.42,521.52,5,Online
"1000002",2017-09-26,2017-09-26,,1201619,56,444,3,2757.00,913.44,1843.56,0,In-Store
"1000002",2017-09-26,2017-09-26,,1201619,56,1673,7,38.50,19.60,18.90,0,In-Store
"1000002",2017-09-26,2017-09-26,,1201619,56,2111,2,1755.00,807.06,947.94,0,In-Store
"1000002",2017-09-26,2017-09-26,,1201619,56,1702,3,50.97,16.89,34.08,0,In-Store
"1000003",2017-09-26,2017-09-26,,1574270,66,48,2,299.90,152.90,147.00,0,In-Store
"1000004",2017-09-26,2017-09-26,,1542638,51,2014,3,599.97,275.91,324.06,0,In-Store
"1000004",2017-09-26,2017-09-26,,1542638,51,93,2,134.80,68.72,66.08,0,In-Store
"1000005",2017-09-26,2017-09-26,,497899,19,1546,1,302.00,100.06,201.94,0,In-Store
"1000006",2017-09-26,2017-09-26,,758494,30,1657,8,1439.92,662.16,777.76,0,In-Store
"1000008",2017-09-26,2017-09-26,,354010,8,98,1,120.00,55.18,64.82,0,In-Store
"1000009",2017-09-26,2017-09-26,,1697711,56,858,2,59.90,27.54,32.36,0,In-Store
"1000009",2017-09-26,2017-09-26,,1697711,56,1649,2,519.98,172.28,347.70,0,In-Store
"1000009",2017-09-26,2017-09-26,,1697711,56,1846,10,9990.00,5093.20,4896.80,0,In-Store
"1000009",2017-09-26,2017-09-26,,1697711,56,2492,4,99.96,50.96,49.00,0,In-Store
"1000009",2017-09-26,2017-09-26,,1697711,56,2112,2,1582.00,727.50,854.50,0,In-Store
"1001000",2017-09-27,2017-09-27,,1883710,51,2419,2,51.98,26.50,25.48,0,In-Store
"1001001",2017-09-27,2017-09-27,,1802110,63,444,9,8271.00,2740.32,5530.68,0,In-Store
"1001001",2017-09-27,2017-09-27,,1802110,63,1395,3,50.97,23.43,27.54,0,In-Store
"1001001",2017-09-27,2017-09-27,,1802110,63,185,1,169.00,55.99,113.01,0,In-Store
"1001001",2017-09-27,2017-09-27,,1802110,63,2015,2,359.98,165.54,194.44,0,In-Store
"1001002",2017-09-27,2017-09-27,,351430,10,1334,2,71.98,33.10,38.88,0,In-Store
"1001002",2017-09-27,2017-09-27,,351430,10,1617,6,347.94,160.02,187.92,0,In-Store
"1001002",2017-09-27,2017-09-27,,351430,10,1461,2,616.00,283.28,332.72,0,In-Store
"1001004",2017-09-27,2017-09-27,,906967,41,1500,1,129.00,65.77,63.23,0,In-Store
"1001004",2017-09-27,2017-09-27,,906967,41,61,3,543.00,249.72,293.28,0,In-Store
"1001004",2017-09-27,2017-09-27,,906967,41,61,2,362.00,166.48,195.52,0,In-Store
"1001004",2017-09-27,2017-09-27,,906967,41,165,3,2290.53,1167.78,1122.75,0,In-Store
"1001005",2017-09-27,2017-09-27,,1028704,36,603,1,229.00,116.75,112.25,0,In-Store
"1001006",2017-09-27,2017-09-27,,389532,9,1681,3,20.67,9.51,11.16,0,In-Store
"1001006",2017-09-27,2017-09-27,,389532,9,2108,1,508.00,258.99,249.01,0,In-Store
"1001006",2017-09-27,2017-09-27,,389532,9,428,1,969.00,321.05,647.95,0,In-Store
"1001007",2017-09-27,2017-09-27,,1107432,41,58,3,468.00,238.59,229.41,0,In-Store
"1001007",2017-09-27,2017-09-27,,1107432,41,1632,1,17.99,8.27,9.72,0,In-Store
"1001007",2017-09-27,2017-09-27,,1107432,41,128,2,286.80,146.22,140.58,0,In-Store
"1001007",2017-09-27,2017-09-27,,1107432,41,76,1,37.95,17.45,20.50,0,In-Store
"1001009",2017-09-27,2017-09-27,,871241,34,1663,1,6.89,3.17,3.72,0,In-Store
"1001009",2017-09-27,2017-09-27,,871241,34,1711,4,280.52,129.00,151.52,0,In-Store
"1001009",2017-09-27,2017-09-27,,871241,34,1757,2,111.80,57.00,54.80,0,In-Store
"1001009",2017-09-27,2017-09-27,,871241,34,60,3,468.00,238.59,229.41,0,In-Store
"1001010",2017-09-27,2017-10-01,2017-10-01,1202659,0,81,9,364.95,167.85,197.10,4,Online
"1001010",2017-09-27,2017-10-01,2017-10-01,1202659,0,96,4,269.60,137.44,132.16,4,Online
"1001011",2017-09-27,2017-09-27,,247032,8,448,1,269.90,137.60,132.30,0,In-Store
"1001012",2017-09-27,2017-09-27,,1845648,51,1357,1,38.99,17.93,21.06,0,In-Store
